Task ID    Gift ID      Gift Type   Task Type  Request Time     Task Arrival    TT     Responsible
1             1             3           A           0                0           3          B
2             2             2           P           1                1           3          A
3             3             1           C           2                2           2          B
4             1             3           C           0                3           2          A
6             2             2           C           1                4           1          B
7             3             1           D           2                4           2          S
8             5             1           C           5                5           1          A
9             1             3           D           0                5           2          S
5             4             3           A           4                4           3          B
11             6             1           C           6                6           1          A
10             2             2           D           1                5           3          S
13             4             3           C           4                7           1          B
12             5             1           D           5                6           3          S
14             6             1           D           6                7           3          S
17             8             3           A           9                9           2          B
15             7             2           P           8                8           3          A
16             4             3           D           4                8           3          S
19             10             1           C           11                11           1          B
20             8             3           C           9                11           1          A
21             7             2           C           8                11           2          B
23             10             1           D           11                12           1          S
25             12             1           C           13                13           1          B
24             8             3           D           9                12           2          S
18             9             2           P           10                10           5          A
26             7             2           D           8                13           2          S
29             9             2           C           10                15           1          A
27             13             3           A           14                14           2          B
28             12             1           D           13                14           2          S
33             13             3           C           14                16           1          B
32             9             2           D           10                16           2          S
36             13             3           D           14                18           1          S
22             11             2           P           12                12           7          A
30             14             5           A           16                16           4          B
31             14             5           Q           16                16           4          S
38             17             1           C           19                19           1          A
39             11             2           C           12                19           2          B
35             15             5           Q           17                17           4          S
42             14             5           C           16                20           1          A
41             17             1           D           19                20           2          S
44             19             1           C           21                21           2          A
34             15             5           A           17                17           6          B
43             11             2           D           12                21           2          S
47             15             5           C           17                23           1          B
46             19             1           D           21                23           1          S
37             16             2           P           18                18           8          A
49             22             1           C           24                24           2          B
50             16             2           C           18                26           1          A
51             22             1           D           24                26           1          S
54             16             2           D           18                27           1          S
52             23             5           A           26                26           3          B
53             23             5           Q           26                26           3          S
40             18             2           P           20                20           10          A
58             23             5           C           26                29           2          A
55             24             3           A           28                28           3          B
56             25             1           C           29                29           3          A
57             18             2           C           20                30           2          B
60             24             3           C           28                31           2          A
61             27             1           C           31                31           2          B
62             25             1           D           29                32           1          S
64             28             1           C           32                32           2          A
63             18             2           D           20                32           2          S
65             24             3           D           28                33           2          S
67             29             3           A           33                33           3          B
66             27             1           D           31                33           3          S
45             20             2           P           22                22           15          A
72             29             3           C           33                36           1          B
68             28             1           D           32                34           3          S
73             32             1           C           36                36           2          A
74             20             2           C           22                37           1          B
75             29             3           D           33                37           1          S
77             32             1           D           36                38           1          S
69             30             3           A           34                34           6          B
78             20             2           D           22                38           2          S
48             21             2           P           23                23           18          A
81             30             3           C           34                40           1          B
71             31             5           Q           35                35           6          S
83             21             2           C           23                41           1          A
84             30             3           D           34                41           1          S
70             31             5           A           35                35           8          B
85             21             2           D           23                42           1          S
87             31             5           C           35                43           1          B
59             26             2           P           30                30           15          A
86             37             1           C           43                43           2          B
88             38             1           C           44                44           2          A
90             26             2           C           30                45           1          B
91             37             1           D           43                45           1          S
93             38             1           D           44                46           1          S
76             33             3           A           37                37           11          B
94             26             2           D           30                46           2          S
92             40             2           P           46                46           3          A
95             41             1           C           48                48           1          B
96             33             3           C           37                48           2          A
98             40             2           C           46                49           1          B
99             41             1           D           48                49           1          S
102             33             3           D           37                50           1          S
79             34             3           A           38                38           14          B
103             40             2           D           46                50           2          S
97             42             2           P           49                49           4          A
107             34             3           C           38                52           1          B
101             43             4           Q           50                50           3          S
110             42             2           C           49                53           1          A
111             34             3           D           38                53           1          S
80             35             3           A           39                39           16          B
113             42             2           D           49                54           1          S
114             48             1           C           55                55           1          B
105             44             4           Q           51                51           5          S
100             43             4           P           50                50           7          A
115             35             3           C           39                55           2          B
117             48             1           D           55                56           1          S
119             43             4           C           50                57           1          A
120             35             3           D           39                57           1          S
82             36             3           A           40                40           19          B
109             46             5           Q           53                53           6          S
124             36             3           C           40                59           1          B
122             51             4           Q           58                58           2          S
104             44             4           P           51                51           10          A
125             53             1           C           60                60           1          B
126             36             3           D           40                60           1          S
127             44             4           C           51                61           1          A
128             53             1           D           60                61           1          S
129             54             1           C           62                62           1          A
89             39             3           A           45                45           18          B
132             39             3           C           45                63           1          B
131             54             1           D           62                63           1          S
133             39             3           D           45                64           1          S
106             45             2           P           52                52           14          A
108             46             5           A           53                53           13          B
135             56             5           Q           65                65           1          S
137             45             2           C           52                66           1          A
138             46             5           C           53                66           1          B
140             45             2           D           52                67           1          S
123             52             3           A           59                59           10          B
112             47             2           P           54                54           16          A
143             52             3           C           59                69           1          B
144             61             1           C           70                70           1          A
145             47             2           C           54                70           1          B
146             52             3           D           59                70           1          S
148             61             1           D           70                71           1          S
134             56             5           A           65                65           8          B
149             47             2           D           54                71           2          S
116             49             2           P           56                56           18          A
152             56             5           C           65                73           1          B
153             65             1           C           74                74           1          A
154             49             2           C           56                74           1          B
155             66             1           C           75                75           1          A
156             65             1           D           74                75           1          S
139             58             3           A           67                67           10          B
157             49             2           D           56                75           2          S
160             68             1           C           77                77           1          B
159             66             1           D           75                76           2          S
118             50             2           P           57                57           22          A
161             58             3           C           67                77           2          B
163             68             1           D           77                78           1          S
164             70             1           C           79                79           1          A
165             50             2           C           57                79           1          B
166             58             3           D           67                79           1          S
168             70             1           D           79                80           1          S
141             59             3           A           68                68           14          B
