Task ID    Gift ID      Gift Type   Task Type  Request Time     Task Arrival    TT     Responsible
1             1             2           P           0                0           3          A
2             2             1           C           1                1           2          B
5             4             4           Q           3                3           2          S
3             3             1           C           2                2           3          A
7             1             2           C           0                4           1          B
8             2             1           D           1                4           2          S
9             6             1           C           5                5           1          A
10             3             1           D           2                5           2          S
12             7             1           C           6                6           1          A
11             1             2           D           0                5           3          S
13             6             1           D           5                6           3          S
14             8             5           A           7                7           2          B
16             7             1           D           6                7           3          S
4             4             4           P           3                3           7          A
17             9             1           C           8                8           2          B
15             8             5           Q           7                7           4          S
20             4             4           C           3                10           1          A
21             9             1           D           8                10           2          S
23             8             5           C           7                11           1          A
22             12             1           C           11                11           1          B
24             13             1           C           12                12           1          A
25             12             1           D           11                12           2          S
26             14             1           C           13                13           1          B
27             13             1           D           12                13           2          S
29             14             1           D           13                14           2          S
6             5             2           P           4                4           12          A
31             16             4           Q           15                15           2          S
33             5             2           C           4                16           2          A
32             17             3           A           16                16           3          B
35             5             2           D           4                18           1          S
37             17             3           C           16                19           1          B
18             10             2           P           9                9           12          A
38             20             1           C           19                19           2          B
39             17             3           D           16                20           1          S
40             21             1           C           20                20           2          A
41             10             2           C           9                21           1          B
42             20             1           D           19                21           1          S
43             22             1           C           21                21           2          A
44             21             1           D           20                22           1          S
34             18             3           A           17                17           7          B
45             10             2           D           9                22           2          S
48             24             1           C           23                23           2          B
47             22             1           D           21                23           2          S
19             11             2           P           10                10           16          A
49             18             3           C           17                24           2          B
51             24             1           D           23                25           2          S
50             25             1           C           24                24           3          A
54             11             2           C           10                26           1          B
55             18             3           D           17                26           2          S
57             25             1           D           24                27           2          S
56             27             3           A           26                26           3          B
58             11             2           D           10                27           3          S
28             15             2           P           14                14           16          A
62             27             3           C           26                29           1          B
53             26             4           Q           25                25           6          S
63             30             1           C           29                29           2          A
64             15             2           C           14                30           1          B
65             27             3           D           26                30           2          S
66             31             1           C           30                30           2          A
67             30             1           D           29                31           2          S
69             32             1           C           31                31           2          A
59             28             5           A           27                27           6          B
68             15             2           D           14                31           3          S
71             33             1           C           32                32           2          A
70             31             1           D           30                32           3          S
61             29             3           A           28                28           7          B
72             32             1           D           31                33           3          S
76             29             3           C           28                35           1          B
30             16             4           P           15                15           22          A
74             33             1           D           32                34           3          S
80             16             4           C           15                37           1          A
78             29             3           D           28                36           2          S
75             35             3           A           34                34           4          B
79             37             1           C           36                36           3          A
60             28             5           Q           27                27           12          S
82             35             3           C           34                38           1          B
84             37             1           D           36                39           1          S
86             28             5           C           27                39           1          B
85             35             3           D           34                39           2          S
36             19             2           P           18                18           24          A
77             36             3           A           35                35           7          B
91             19             2           C           18                42           1          A
92             36             3           C           35                42           1          B
90             42             5           Q           41                41           2          S
93             43             1           C           42                42           2          A
94             19             2           D           18                43           1          S
96             44             1           C           43                43           2          A
88             41             3           A           40                40           5          B
95             36             3           D           35                43           2          S
100             41             3           C           40                45           1          B
97             43             1           D           42                44           2          S
101             46             1           C           45                45           2          B
99             44             1           D           43                45           2          S
46             23             2           P           22                22           26          A
102             41             3           D           40                46           2          S
106             48             1           C           47                47           2          A
89             42             5           A           41                41           8          B
105             46             1           D           45                47           2          S
107             23             2           C           22                48           2          A
110             42             5           C           41                49           1          B
109             48             1           D           47                49           1          S
108             49             1           C           48                48           3          A
112             23             2           D           22                50           1          S
103             47             5           A           46                46           6          B
114             49             1           D           48                51           1          S
115             52             1           C           51                51           2          B
104             47             5           Q           46                46           7          S
52             26             4           P           25                25           29          A
117             52             1           D           51                53           1          S
119             26             4           C           25                54           1          A
111             50             3           A           49                49           6          B
121             47             5           C           46                53           3          A
118             54             1           C           53                53           3          B
120             55             1           C           54                54           3          A
122             50             3           C           49                55           2          B
124             54             1           D           53                56           1          S
126             55             1           D           54                57           1          S
113             51             3           A           50                50           9          B
127             50             3           D           49                57           2          S
73             34             2           P           33                33           27          A
130             51             3           C           50                59           1          B
131             60             1           C           59                59           2          A
132             34             2           C           33                60           1          B
133             51             3           D           50                60           1          S
136             60             1           D           59                61           1          S
116             53             3           A           52                52           11          B
137             34             2           D           33                61           2          S
81             38             2           P           37                37           27          A
138             62             1           C           61                61           3          B
135             61             5           Q           60                60           4          S
140             53             3           C           52                63           2          A
143             38             2           C           37                64           1          B
144             62             1           D           61                64           1          S
146             53             3           D           52                65           1          S
128             58             3           A           57                57           10          B
147             38             2           D           37                65           2          S
83             39             2           P           38                38           30          A
148             66             1           C           65                65           3          B
142             64             5           Q           63                63           5          S
150             58             3           C           57                67           2          A
152             39             2           C           38                68           1          B
153             66             1           D           65                68           1          S
155             58             3           D           57                69           1          S
129             59             3           A           58                58           13          B
156             39             2           D           38                69           2          S
87             40             2           P           39                39           33          A
157             70             1           C           69                69           3          B
158             71             1           C           70                70           3          A
159             59             3           C           58                71           2          B
162             70             1           D           69                72           1          S
161             40             2           C           39                72           2          A
164             71             1           D           70                73           1          S
166             74             1           C           73                73           2          A
134             61             5           A           60                60           15          B
165             59             3           D           58                73           2          S
168             75             1           C           74                74           2          A
170             61             5           C           60                75           1          B
167             40             2           D           39                74           2          S
169             74             1           D           73                75           2          S
141             64             5           A           63                63           15          B
172             75             1           D           74                76           2          S
98             45             2           P           44                44           35          A
175             64             5           C           63                78           1          B
173             77             1           C           76                76           4          A
176             79             1           C           78                78           2          B
177             45             2           C           44                79           2          A
179             77             1           D           76                80           1          S
145             65             3           A           64                64           18          B
180             79             1           D           78                80           2          S
185             65             3           C           64                82           1          B
182             45             2           D           44                81           2          S
123             56             2           P           55                55           29          A
187             65             3           D           64                83           1          S
188             84             1           C           83                83           2          A
149             67             3           A           66                66           19          B
184             82             4           Q           81                81           4          S
189             56             2           C           55                84           2          A
193             67             3           C           66                85           1          B
192             84             1           D           83                85           1          S
195             56             2           D           55                86           1          S
151             68             3           A           67                67           21          B
196             67             3           D           66                86           2          S
125             57             2           P           56                56           33          A
197             87             1           C           86                86           3          B
191             85             4           Q           84                84           6          S
198             88             1           C           87                87           3          A
199             68             3           C           67                88           2          B
202             87             1           D           86                89           2          S
201             57             2           C           56                89           2          A
203             90             1           C           89                89           2          B
204             88             1           D           87                90           2          S
205             68             3           D           67                90           3          S
181             81             3           A           80                80           13          B
207             57             2           D           56                91           3          S
139             63             2           P           62                62           32          A
210             93             1           C           92                92           2          B
209             90             1           D           89                91           4          S
212             81             3           C           80                93           2          A
213             63             2           C           62                94           2          B
215             93             1           D           92                95           1          S
216             81             3           D           80                95           2          S
186             83             3           A           82                82           16          B
218             63             2           D           62                96           2          S
154             69             2           P           68                68           30          A
222             83             3           C           82                98           1          B
221             98             4           Q           97                97           2          S
223             69             2           C           68                98           1          A
225             83             3           D           82                99           1          S
200             89             3           A           88                88           13          B
226             69             2           D           68                99           2          S
229             89             3           C           88                101           1          B
160             72             2           P           71                71           31          A
231             89             3           D           88                102           1          S
232             72             2           C           71                102           1          A
206             91             3           A           90                90           14          B
233             103             1           C           102                102           2         
235             104             1           C           104                104           1         
234             72             2           D           71                103           2          S
236             91             3           C           90                104           1          A
238             105             1           C           105                105           1         
237             103             1           D           102                104           2         
241             106             1           C           106                106           1         
239             104             1           D           104                105           2         
240             91             3           D           90                105           3          S
163             73             2           P           72                72           36          A
208             92             3           A           91                91           18          B
242             105             1           D           105                106           3         
247             73             2           C           72                108           1          A
248             109             1           C           109                109           1         
245             106             1           D           106                107           3         
249             92             3           C           91                109           1          A
250             73             2           D           72                109           2          S
211             94             3           A           93                93           19          B
252             109             1           D           109                110           2         
256             94             3           C           93                112           1          B
253             92             3           D           91                110           3          S
171             76             2           P           75                75           38          A
257             113             1           C           113                113           1         
258             94             3           D           93                113           1          S
259             76             2           C           75                113           1          A
261             113             1           D           113                114           1         
214             95             3           A           94                94           22          B
262             76             2           D           75                114           2          S
264             116             1           C           116                116           1         
244             107             4           Q           107                107           10        
174             78             2           P           77                77           40          A
265             95             3           C           94                116           2          B
267             116             1           D           116                117           1         
268             78             2           C           77                118           1          A
271             95             3           D           94                118           1          S
217             96             3           A           95                95           25          B
272             78             2           D           77                119           1          S
178             80             2           P           79                79           43          A
